사업자명,미래에셋증권,,,,,,,,,,,,,,,,,,,,,,,
제도유형,DC/IRP,,,,,,,,,,,,,,,,,,,,,,,
상품유형,실적배당형 상품(펀드/ETF),,,,,,,,,,,,,,,,,,,,,,,
기준일,"2026-06-01, 제로인",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
※ 1년 수익률 상위순으로 펀드/ETF를 배열하였습니다. 1년 이상 기간의 수익률은 연평균 수익률입니다. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,"해당상품 수익률(%)(세전, 연)",,,,,,"참고지수 수익률(%)(세전, 연)",,,,,,,합성총보수 · 비용,,,,,,,,
펀드코드,펀드명,운용회사명,수익률(10Y),수익률(7Y),수익률(5Y),수익률(3Y),수익률(1Y),수익률(6M),BM수익률(10Y),BM수익률(7Y),BM수익률(5Y),BM수익률(3Y),BM수익률(1Y),BM수익률(6M),위험등급,비율(%),1년투자비용(원),순자산총액(억원),설정일,계열사 여부,비고,,,
K55223DB4882,KBRISE네트워크인프라증권상장지수투자신탁(주식),KB운용,,,52.21,117.10,758.11,313.85,,,25.70,58.21,273.40,142.39,1등급(매우 높은 위험),0.51,"5,100","8,285",20201028,,ETF,,,
K55232DL2867,NH-AmundiHANAROFnK-반도체증권상장지수투자신탁(주식),NH-Amundi운용,,,,105.35,689.67,301.18,,,,58.21,273.40,142.39,1등급(매우 높은 위험),0.51,"5,100","43,277",20210729,,ETF,,,
K55234EG3166,IBKIBKK-AI반도체코어테크증권상장지수투자신탁[주식],아이비케이운용,,,,,655.12,282.85,,,,,273.40,142.39,2등급(높은 위험),0.38,"3,761","2,509",20250120,,ETF,,,
K55105D67108,삼성KODEX200ITTotalReturn증권상장지수투자신탁[주식],삼성운용,,,39.54,80.29,605.64,267.96,,,25.70,58.21,273.40,142.39,1등급(매우 높은 위험),0.19,"1,850","2,511",20200924,,ETF,,,
KR5225A18067,미래에셋TIGER200IT증권상장지수투자신탁(주식),미래에셋운용,31.23,39.06,39.23,79.73,600.62,266.61,30.23,38.06,38.01,78.61,601.53,266.55,1등급(매우 높은 위험),0.44,"4,400","25,616",20110405,계열사,ETF,,,
K55213DW6843,한화PLUS글로벌HBM반도체증권상장지수투자신탁(주식),한화운용,,,,108.99,595.23,226.02,,,,34.70,63.09,30.18,1등급(매우 높은 위험),0.66,"6,641","10,229",20220920,,ETF,,,
K55105DI5372,삼성KODEXAI반도체TOP2플러스증권상장지수투자신탁[주식],삼성운용,,,,83.36,526.96,224.09,,,,58.21,273.40,142.39,1등급(매우 높은 위험),0.51,"5,100","39,974",20210729,,ETF,,,
K55105BM5634,삼성KODEX IT증권상장지수투자신탁(주식),삼성운용,,36.24,36.31,71.36,519.27,232.13,,34.53,34.23,70.63,522.37,232.45,1등급(매우 높은 위험),0.47,"4,700","1,381",20170327,,ETF,,,
K55240EC9136,BNKBNK온디바이스AI증권상장지수투자신탁(주식),BNK자산운용,,,,,510.27,229.47,,,,,273.40,142.39,2등급(높은 위험),0.52,"5,198",521,20240722,,ETF,,,
K55101E67600,한국투자ACEAI반도체TOP3+증권상장지수투자신탁(주식),한국투자신탁운용,,,,,507.94,224.20,,,,,273.40,142.39,2등급(높은 위험),0.36,"3,600","12,129",20231016,,ETF,,,
K55107E85195,우리WON반도체밸류체인액티브증권상장지수투자신탁(주식),우리운용,,,,,466.30,190.62,,,,,273.40,142.39,2등급(높은 위험),0.37,"3,738","3,452",20240115,,ETF,,,
K55301E68232,미래에셋TIGER코리아테크액티브증권상장지수투자신탁(주식),미래에셋운용,,,,,447.42,169.68,,,,,273.40,142.39,2등급(높은 위험),0.79,"7,900","3,010",20231124,계열사,ETF,,,
K55206E61196,키움KIWOOM코리아테크TOP10증권상장지수투자신탁[주식],키움투자운용,,,,,447.04,213.31,,,,,273.40,142.39,2등급(높은 위험),0.71,"7,146",504,20231030,,ETF,,,
K55373EF1006,현대UNICORNSK하이닉스밸류체인액티브증권상장지수투자신탁[주식],현대자산운용,,,,,434.39,180.60,,,,,273.40,142.39,2등급(높은 위험),0.59,"5,858","2,325",20241106,,ETF,,,
KR5225578230,미래에셋TIGER반도체증권상장지수투자신탁(주식),미래에셋운용,26.88,36.47,36.05,75.84,429.43,191.15,25.94,35.57,35.01,74.66,425.52,191.33,1등급(매우 높은 위험),0.48,"4,800","16,426",20060626,계열사,ETF,,,
KR5105578185,삼성KODEX반도체증권상장지수투자신탁[주식],삼성운용,26.23,35.87,35.33,75.28,423.85,191.37,25.94,35.57,35.01,74.66,425.52,191.33,1등급(매우 높은 위험),0.46,"4,625","72,532",20060626,,ETF,,,
K55301DL2400,미래에셋TIGER반도체TOP10증권상장지수투자신탁(주식),미래에셋운용,,,,80.47,422.29,183.47,,,,58.21,273.40,142.39,1등급(매우 높은 위험),0.51,"5,100","141,113",20210809,계열사,ETF,,,
K55223CJ3036,KBRISE대형고배당10TotalReturn증권상장지수투자신탁(주식),KB운용,,38.46,41.09,82.31,392.98,180.31,,26.17,25.70,58.21,273.40,142.39,2등급(높은 위험),0.12,"1,200","6,998",20190121,,ETF,,,
K55105DX9912,삼성KODEX아시아AI반도체exChina액티브증권상장지수투자신탁[주식],삼성운용,,,,85.71,385.78,176.19,,,,22.90,48.36,25.14,2등급(높은 위험),0.65,"6,505",381,20230130,,ETF,,,
K55301CW6508,미래에셋코어테크증권자투자신탁(주식)종류C-P2e,미래에셋운용,,,30.47,57.19,368.15,155.87,,,25.70,58.21,273.40,142.39,1등급(매우 높은 위험),1.07,"10,700","8,766",20191023,계열사,,,,
K55301CW6490,미래에셋코어테크증권자투자신탁(주식)종류C-P2,미래에셋운용,,,30.07,56.72,366.95,155.56,,,25.70,58.21,273.40,142.39,1등급(매우 높은 위험),1.40,"14,000",735,20191023,계열사,,,,
K55210E48609,신한SOL자동차소부장Fn증권상장지수투자신탁[주식],신한자산운용,,,,,365.21,221.84,,,,,273.40,142.39,2등급(높은 위험),0.56,"5,599",362,20230821,,ETF,,,
K55101DH2341,한국투자ACE코리아AI테크핵심산업증권상장지수투자신탁(주식),한국투자신탁운용,,,36.15,76.27,363.05,168.39,,,25.70,58.21,273.40,142.39,1등급(매우 높은 위험),0.46,"4,600",323,20210401,,ETF,,,
K55105CG9781,삼성KODEXTop5PlusTotalReturn증권상장지수투자신탁[주식],삼성운용,,35.28,38.54,79.94,355.15,161.42,,26.17,25.70,58.21,273.40,142.39,2등급(높은 위험),0.19,"1,900","21,200",20190121,,ETF,,,
K55223C37088,KBRISEESG사회책임투자증권상장지수투자신탁(주식),KB운용,,34.39,35.08,78.84,353.43,175.28,,26.17,25.70,58.21,273.40,142.39,2등급(높은 위험),0.33,"3,300","4,714",20180226,,ETF,,,
K55232DB8353,NH-AmundiHANAROFn5G산업증권상장지수투자신탁(주식),NH-Amundi운용,,,36.16,71.96,353.12,174.32,,,25.70,58.21,273.40,142.39,2등급(높은 위험),0.54,"5,400",306,20201028,,ETF,,,
K553N9EC3266,삼성액티브KoActAI인프라액티브증권상장지수투자신탁[주식],삼성액티브자산운용,,,,,347.34,156.27,,,,,273.40,142.39,2등급(높은 위험),0.56,"5,628",996,20240708,,ETF,,,
K55102C96528,하나IT코리아증권자투자신탁 1[주식]ClassC-P2E,하나운용,,,28.90,55.34,342.58,159.97,,,36.35,72.25,527.98,227.19,1등급(매우 높은 위험),1.16,"11,600",929,20200214,,,,,
K55203EA9349,대신DAISHIN343AI반도체&인프라액티브증권상장지수투자신탁[주식],대신운용,,,,,340.25,153.29,,,,,273.40,142.39,2등급(높은 위험),0.43,"4,265","1,108",20240617,,ETF,,,
K55236CG1954,한국밸류10년투자파이오니아증권투자신탁(주식)(C-Re),한국투자밸류운용,,,38.49,77.05,336.93,166.19,,,25.70,58.21,273.40,142.39,2등급(높은 위험),1.11,"11,100",469,20210208,,,,,
K55301C47545,미래에셋TIGER코리아TOP10증권상장지수투자신탁(주식),미래에셋운용,,31.33,28.88,62.86,335.84,156.75,,28.95,28.37,63.25,360.64,179.59,2등급(높은 위험),0.19,"1,900","30,617",20180329,계열사,ETF,,,
K55210E57717,신한SOL자동차TOP3플러스증권상장지수투자신탁[주식],신한자산운용,,,,,327.66,207.81,,,,,137.57,78.99,2등급(높은 위험),0.51,"5,143","5,170",20231004,,ETF,,,
KR5213185071,한화PLUS코스피50증권상장지수투자신탁(주식),한화운용,22.97,30.80,30.32,65.74,325.68,162.36,20.67,28.31,27.74,63.30,323.04,161.73,2등급(높은 위험),0.36,"3,600","1,843",20100106,,ETF,,,
K55105BQ9418,삼성KODEX우량주증권상장지수투자신탁[주식],삼성운용,,25.76,29.82,67.17,321.11,156.06,,26.17,25.70,58.21,273.40,142.39,2등급(높은 위험),0.35,"3,504",624,20170710,,ETF,,,
K55105CX1894,삼성KODEX 200ESG증권상장지수투자신탁[주식],삼성운용,,,33.36,70.99,320.81,163.35,,,25.70,58.21,273.40,142.39,2등급(높은 위험),0.12,"1,249","1,869",20191113,,ETF,,,
K55232C99576,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2(퇴직연금),NH-Amundi운용,,,36.33,67.95,319.06,153.67,,,25.70,58.21,273.40,142.39,2등급(높은 위험),0.80,"8,000",684,20190828,,,,,
K55232C99584,NH-Amundi필승코리아증권투자신탁[주식]ClassC-P2e(퇴직연금),NH-Amundi운용,,,36.44,68.02,318.55,153.40,,,25.70,58.21,273.40,142.39,2등급(높은 위험),0.67,"6,700","7,506",20190826,,,,,
